Date,Open,High,Low,Close,Adj Close,Volume
2016-02-16,95.019997,96.849998,94.610001,94.250275,96.639999,49057900
2016-02-17,96.66999799999999,98.209999,96.150002,95.69367199999999,98.120003,44863200
2016-02-18,98.839996,98.889999,96.089996,93.879677,96.260002,39021000
2016-02-19,96.0,96.760002,95.800003,93.665115,96.040001,35374200
2016-02-22,96.309998,96.900002,95.91999799999999,94.484337,96.879997,34280800
2016-02-23,96.400002,96.5,94.550003,92.348495,94.690002,31942600
2016-02-24,93.980003,96.379997,93.32,93.723625,96.099998,36255700
2016-02-25,96.050003,96.760002,95.25,94.36731,96.760002,27582700
2016-02-26,97.199997,98.019997,96.58000200000001,94.513603,96.910004,28991100
2016-02-29,96.860001,98.230003,96.650002,94.299042,96.690002,35216300
2016-03-01,97.650002,100.769997,97.41999799999999,98.044075,100.529999,50407100
2016-03-02,100.510002,100.889999,99.639999,98.258652,100.75,33169600
2016-03-03,100.58000200000001,101.709999,100.449997,98.99009699999999,101.5,36955700
2016-03-04,102.370003,103.75,101.370003,100.462761,103.010002,46055100
2016-03-07,102.389999,102.83000200000001,100.959999,99.350945,101.870003,35828900
2016-03-08,100.779999,101.760002,100.400002,98.531715,101.029999,31561900
2016-03-09,101.309998,101.58000200000001,100.269997,98.619499,101.120003,27201700
2016-03-10,101.410004,102.239998,100.150002,98.668251,101.16999799999999,33513600
2016-03-11,102.239998,102.279999,101.5,99.7313,102.260002,27408200
2016-03-14,101.910004,102.910004,101.779999,99.984879,102.519997,25076100
2016-03-15,103.959999,105.18,103.849998,101.993942,104.58000200000001,40067700
2016-03-16,104.610001,106.309998,104.589996,103.349571,105.970001,38303500
2016-03-17,105.519997,106.470001,104.959999,103.183762,105.800003,34420700
2016-03-18,106.339996,106.5,105.190002,103.300804,105.91999799999999,44205200
2016-03-21,105.93,107.650002,105.139999,103.291046,105.910004,35502700
2016-03-22,105.25,107.290001,105.209999,104.081009,106.720001,32444400
2016-03-23,106.480003,107.07,105.900002,103.505608,106.129997,25703500
2016-03-24,105.470001,106.25,104.889999,103.056976,105.66999799999999,26133000
2016-03-28,106.0,106.190002,105.059998,102.588852,105.190002,19411400
2016-03-29,104.889999,107.790001,104.879997,105.01728100000001,107.68,31190100
2016-03-30,108.650002,110.41999799999999,108.599998,106.850792,109.559998,45601100
2016-03-31,109.720001,109.900002,108.879997,106.29488400000001,108.989998,25888400
2016-04-01,108.779999,110.0,108.199997,107.270149,109.989998,25874000
2016-04-04,110.41999799999999,112.190002,110.269997,108.372215,111.120003,37356200
2016-04-05,109.510002,110.730003,109.41999799999999,107.094597,109.809998,26578700
2016-04-06,110.230003,110.980003,109.199997,108.216171,110.959999,26404100
2016-04-07,109.949997,110.41999799999999,108.120003,105.856026,108.540001,31801900
2016-04-08,108.910004,109.769997,108.16999799999999,105.973045,108.660004,23581700
2016-04-11,108.970001,110.610001,108.83000200000001,106.32413500000001,109.019997,29407500
2016-04-12,109.339996,110.5,108.660004,107.70903,110.440002,27232300
2016-04-13,110.800003,112.339996,110.800003,109.26946299999999,112.040001,33257300
2016-04-14,111.620003,112.389999,111.33000200000001,109.327972,112.099998,25473900
2016-04-15,112.110001,112.300003,109.730003,107.133614,109.849998,46939000
2016-04-18,108.889999,108.949997,106.940002,104.82222,107.480003,60834000
2016-04-19,107.879997,108.0,106.230003,104.266327,106.910004,32384900
2016-04-20,106.639999,108.089996,106.059998,104.480873,107.129997,30611000
2016-04-21,106.93,106.93,105.519997,103.349571,105.970001,31552500
2016-04-22,105.010002,106.480003,104.620003,103.066734,105.68,33683100
2016-04-25,105.0,105.650002,104.510002,102.481575,105.08000200000001,28031600
2016-04-26,103.910004,105.300003,103.910004,101.769615,104.349998,56016200
2016-04-27,96.0,98.709999,95.68,95.4011,97.82,114602100
2016-04-28,97.610001,97.879997,94.25,92.485031,94.83000200000001,82242700
2016-04-29,93.989998,94.720001,92.510002,91.42199699999999,93.739998,68531500
2016-05-02,93.970001,94.08000200000001,92.400002,91.324463,93.639999,48160100
2016-05-03,94.199997,95.739998,93.68,92.826378,95.18,56831300
2016-05-04,95.199997,95.900002,93.82,91.860863,94.190002,41025500
2016-05-05,94.0,94.07,92.68,91.487999,93.239998,35890500
2016-05-06,93.370003,93.449997,91.849998,90.97776800000001,92.720001,43458200
2016-05-09,93.0,93.769997,92.589996,91.04645500000001,92.790001,32936400
2016-05-10,93.33000200000001,93.57,92.110001,91.664612,93.41999799999999,33686800
2016-05-11,93.480003,93.57,92.459999,90.771721,92.510002,28719100
2016-05-12,92.720001,92.779999,89.470001,88.642487,90.339996,76314700
2016-05-13,90.0,91.66999799999999,90.0,88.81910699999999,90.519997,44392800
2016-05-16,92.389999,94.389999,91.650002,92.115974,93.879997,61259800
2016-05-17,94.550003,94.699997,93.010002,91.733299,93.489998,46916900
2016-05-18,94.160004,95.209999,93.889999,92.78319499999999,94.559998,42062400
2016-05-19,94.639999,94.639999,93.57,92.429955,94.199997,30442100
2016-05-20,94.639999,95.43,94.519997,93.430801,95.220001,32026000
2016-05-23,95.870003,97.190002,95.66999799999999,94.61805,96.43,38018600
2016-05-24,97.220001,98.089996,96.839996,96.06044,97.900002,35140200
2016-05-25,98.66999799999999,99.739998,98.110001,97.74811600000001,99.620003,38168800
2016-05-26,99.68,100.730003,98.639999,98.523285,100.410004,56331200
2016-05-27,99.440002,100.470001,99.25,98.464394,100.349998,36229500
2016-05-31,99.599998,100.400002,98.82,97.983612,99.860001,42307200
2016-06-01,99.019997,99.540001,98.33000200000001,96.60992399999999,98.459999,29173300
2016-06-02,97.599998,97.839996,96.629997,95.88382,97.720001,40191600
2016-06-03,97.790001,98.269997,97.449997,96.080055,97.91999799999999,28062900
2016-06-06,97.989998,101.889999,97.550003,96.776718,98.629997,23292500
2016-06-07,99.25,99.870003,98.959999,97.169197,99.029999,22409500
2016-06-08,99.019997,99.559998,98.68,97.08090200000001,98.940002,20848100
2016-06-09,98.5,99.989998,98.459999,97.77755,99.650002,26601400
2016-06-10,98.529999,99.349998,98.480003,96.972954,98.83000200000001,31712900
2016-06-13,98.690002,99.120003,97.099998,95.51095600000001,97.339996,38020500
2016-06-14,97.32,98.480003,96.75,95.62870799999999,97.459999,31931900
2016-06-15,97.82,98.410004,97.029999,95.31472,97.139999,29445200
